id,number,title,labels,state,assignee,assignees,milestone,created_at,updated_at,closed_at,author_association,user.login,user.id,user.node_id,assignee.login,assignee.id,assignee.node_id,assignee.avatar_url,assignee.gravatar_id,assignee.url,assignee.html_url,assignee.followers_url,assignee.following_url,assignee.gists_url,assignee.starred_url,assignee.subscriptions_url,assignee.organizations_url,assignee.repos_url,assignee.events_url,assignee.received_events_url,assignee.type,assignee.site_admin,milestone.url,milestone.html_url,milestone.labels_url,milestone.id,milestone.node_id,milestone.number,milestone.title,milestone.description,milestone.creator.login,milestone.creator.id,milestone.creator.node_id,milestone.creator.avatar_url,milestone.creator.gravatar_id,milestone.creator.url,milestone.creator.html_url,milestone.creator.followers_url,milestone.creator.following_url,milestone.creator.gists_url,milestone.creator.starred_url,milestone.creator.subscriptions_url,milestone.creator.organizations_url,milestone.creator.repos_url,milestone.creator.events_url,milestone.creator.received_events_url,milestone.creator.type,milestone.creator.site_admin,milestone.open_issues,milestone.closed_issues,milestone.state,milestone.created_at,milestone.updated_at,milestone.due_on,milestone.closed_at
940203454,42740,Document ActiveStorage::Attachment#variant,"[{'id': 664533972, 'node_id': 'MDU6TGFiZWw2NjQ1MzM5NzI=', 'url': 'https://api.github.com/repos/rails/rails/labels/activestorage', 'name': 'activestorage', 'color': 'bfd4f2', 'default': False, 'description': None}]",open,,[],,2021-07-08T20:38:35Z,2021-07-08T20:38:38Z,,NONE,dmarcoux,1102934,MDQ6VXNlcjExMDI5MzQ=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940170739,42739,Resolve bug in nested FormBuilder#field_id,"[{'id': 3666649, 'node_id': 'MDU6TGFiZWwzNjY2NjQ5', 'url': 'https://api.github.com/repos/rails/rails/labels/actionview', 'name': 'actionview', 'color': 'd7e102', 'default': False, 'description': None}]",open,,[],,2021-07-08T19:50:55Z,2021-07-08T20:20:48Z,,CONTRIBUTOR,seanpdoyle,2575027,MDQ6VXNlcjI1NzUwMjc=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940070427,42738,ActiveRecord `update` forcing type cast of untouched attributes,"[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}]",open,,[],,2021-07-08T17:22:23Z,2021-07-08T22:42:26Z,,CONTRIBUTOR,bboe,48100,MDQ6VXNlcjQ4MTAw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940068666,42737,Add rubymine's folder to gitignore,[],closed,,[],,2021-07-08T17:19:53Z,2021-07-08T17:27:18Z,2021-07-08T17:26:13Z,CONTRIBUTOR,brenogazzola,1793280,MDQ6VXNlcjE3OTMyODA=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940065357,42736,Ask contributors to update the documentation [ci-skip],"[{'id': 150377, 'node_id': 'MDU6TGFiZWwxNTAzNzc=', 'url': 'https://api.github.com/repos/rails/rails/labels/docs', 'name': 'docs', 'color': '02d7e1', 'default': False, 'description': None}]",closed,,[],,2021-07-08T17:15:03Z,2021-07-08T20:05:47Z,2021-07-08T20:02:56Z,CONTRIBUTOR,brenogazzola,1793280,MDQ6VXNlcjE3OTMyODA=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940038531,42735,Update active storage guide to match recent PRs [ci-skip],"[{'id': 150377, 'node_id': 'MDU6TGFiZWwxNTAzNzc=', 'url': 'https://api.github.com/repos/rails/rails/labels/docs', 'name': 'docs', 'color': '02d7e1', 'default': False, 'description': None}]",closed,,[],,2021-07-08T16:39:07Z,2021-07-09T22:19:38Z,2021-07-09T21:50:33Z,CONTRIBUTOR,brenogazzola,1793280,MDQ6VXNlcjE3OTMyODA=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939941601,42734,Make `FlashHash#delete` behave like `Hash#delete`,"[{'id': 107189, 'node_id': 'MDU6TGFiZWwxMDcxODk=', 'url': 'https://api.github.com/repos/rails/rails/labels/actionpack', 'name': 'actionpack', 'color': 'FFF700', 'default': False, 'description': None}]",open,,[],,2021-07-08T14:50:22Z,2021-07-09T06:28:50Z,,CONTRIBUTOR,seanpdoyle,2575027,MDQ6VXNlcjI1NzUwMjc=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939939470,42733,Small improvements on active model,"[{'id': 107190, 'node_id': 'MDU6TGFiZWwxMDcxOTA=', 'url': 'https://api.github.com/repos/rails/rails/labels/activemodel', 'name': 'activemodel', 'color': '00E5FF', 'default': False, 'description': None}]",closed,,[],,2021-07-08T14:48:11Z,2021-07-08T17:03:58Z,2021-07-08T17:03:58Z,CONTRIBUTOR,okuramasafumi,1012014,MDQ6VXNlcjEwMTIwMTQ=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939905833,42732,cannot load such file -- rns//handle_exceptions (LoadError) with Ruby v3 and Rails v6.0.3.6,[],open,,[],,2021-07-08T14:13:53Z,2021-07-09T06:45:15Z,,NONE,afdev82,4134610,MDQ6VXNlcjQxMzQ2MTA=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939652249,42730,ActiveSupport: concern not extended by ClassMethods when including another concern,"[{'id': 107194, 'node_id': 'MDU6TGFiZWwxMDcxOTQ=', 'url': 'https://api.github.com/repos/rails/rails/labels/activesupport', 'name': 'activesupport', 'color': 'FC9300', 'default': False, 'description': None}]",open,,[],,2021-07-08T09:18:07Z,2021-07-10T09:22:11Z,,CONTRIBUTOR,qnighy,41755,MDQ6VXNlcjQxNzU1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939613468,42729,Fix clearing the inverse relation when has_many_inversing is enabled,"[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}]",closed,,[],,2021-07-08T08:34:28Z,2021-07-08T10:18:14Z,2021-07-08T10:18:14Z,CONTRIBUTOR,casperisfine,19192189,MDQ6VXNlcjE5MTkyMTg5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939208142,42728,Handle paths with spaces when editing credentials,"[{'id': 107195, 'node_id': 'MDU6TGFiZWwxMDcxOTU=', 'url': 'https://api.github.com/repos/rails/rails/labels/railties', 'name': 'railties', 'color': '8BE06E', 'default': False, 'description': None}, {'id': 1072773639, 'node_id': 'MDU6TGFiZWwxMDcyNzczNjM5', 'url': 'https://api.github.com/repos/rails/rails/labels/ready', 'name': 'ready', 'color': 'fef2c0', 'default': False, 'description': 'PRs ready to merge'}, {'id': 3020794931, 'node_id': 'MDU6TGFiZWwzMDIwNzk0OTMx', 'url': 'https://api.github.com/repos/rails/rails/labels/thisweekinrails', 'name': 'thisweekinrails', 'color': 'B60205', 'default': False, 'description': 'News-worthy issues/PRs for inclusion in the newsletter'}]",closed,,[],,2021-07-07T19:48:31Z,2021-07-10T01:47:09Z,2021-07-08T17:12:01Z,MEMBER,ghiculescu,509837,MDQ6VXNlcjUwOTgzNw==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939201974,42727,"""ActionView::Template::Error: undefined method"" is raised with Rails 6 and prepend_view_path with config.cache_classes false","[{'id': 3666649, 'node_id': 'MDU6TGFiZWwzNjY2NjQ5', 'url': 'https://api.github.com/repos/rails/rails/labels/actionview', 'name': 'actionview', 'color': 'd7e102', 'default': False, 'description': None}, {'id': 107186, 'node_id': 'MDU6TGFiZWwxMDcxODY=', 'url': 'https://api.github.com/repos/rails/rails/labels/regression', 'name': 'regression', 'color': 'e10c02', 'default': False, 'description': None}]",open,,[],,2021-07-07T19:38:42Z,2021-07-07T20:05:43Z,,CONTRIBUTOR,GCorbel,1296201,MDQ6VXNlcjEyOTYyMDE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939126968,42726,Truncate more ActionCable broadcast messages to 300 chars,"[{'id': 300028327, 'node_id': 'MDU6TGFiZWwzMDAwMjgzMjc=', 'url': 'https://api.github.com/repos/rails/rails/labels/actioncable', 'name': 'actioncable', 'color': 'bfdadc', 'default': False, 'description': None}, {'id': 3020794931, 'node_id': 'MDU6TGFiZWwzMDIwNzk0OTMx', 'url': 'https://api.github.com/repos/rails/rails/labels/thisweekinrails', 'name': 'thisweekinrails', 'color': 'B60205', 'default': False, 'description': 'News-worthy issues/PRs for inclusion in the newsletter'}]",closed,,[],,2021-07-07T17:54:34Z,2021-07-10T01:31:04Z,2021-07-08T17:43:15Z,CONTRIBUTOR,dark-panda,84783,MDQ6VXNlcjg0Nzgz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939112649,42725,Allow URL Signing with GCS Service to be done with IAMCredentials SignBlob API,"[{'id': 664533972, 'node_id': 'MDU6TGFiZWw2NjQ1MzM5NzI=', 'url': 'https://api.github.com/repos/rails/rails/labels/activestorage', 'name': 'activestorage', 'color': 'bfd4f2', 'default': False, 'description': None}, {'id': 41328116, 'node_id': 'MDU6TGFiZWw0MTMyODExNg==', 'url': 'https://api.github.com/repos/rails/rails/labels/attached%20PR', 'name': 'attached PR', 'color': '006b75', 'default': False, 'description': None}]",open,,[],,2021-07-07T17:34:30Z,2021-07-10T01:29:47Z,,NONE,RRethy,21000943,MDQ6VXNlcjIxMDAwOTQz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939110074,42724,Make `autosave` option work with `has_and_belongs_to_many`,"[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}, {'id': 128692, 'node_id': 'MDU6TGFiZWwxMjg2OTI=', 'url': 'https://api.github.com/repos/rails/rails/labels/needs%20feedback', 'name': 'needs feedback', 'color': 'ededed', 'default': False, 'description': None}]",open,,[],,2021-07-07T17:30:40Z,2021-07-10T01:57:13Z,,NONE,edipofederle,50778,MDQ6VXNlcjUwNzc4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939104836,42723,WIP: Use IAM for URL signing with GCS when no credentials are provided,"[{'id': 664533972, 'node_id': 'MDU6TGFiZWw2NjQ1MzM5NzI=', 'url': 'https://api.github.com/repos/rails/rails/labels/activestorage', 'name': 'activestorage', 'color': 'bfd4f2', 'default': False, 'description': None}]",open,,[],,2021-07-07T17:23:22Z,2021-07-10T01:34:24Z,,NONE,RRethy,21000943,MDQ6VXNlcjIxMDAwOTQz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938788333,42722,Add missing new defaults to new_framework_defaults_7_0.rb.tt,"[{'id': 150377, 'node_id': 'MDU6TGFiZWwxNTAzNzc=', 'url': 'https://api.github.com/repos/rails/rails/labels/docs', 'name': 'docs', 'color': '02d7e1', 'default': False, 'description': None}, {'id': 107195, 'node_id': 'MDU6TGFiZWwxMDcxOTU=', 'url': 'https://api.github.com/repos/rails/rails/labels/railties', 'name': 'railties', 'color': '8BE06E', 'default': False, 'description': None}]",closed,,[],,2021-07-07T11:25:09Z,2021-07-09T08:16:52Z,2021-07-07T17:32:35Z,MEMBER,p8,28561,MDQ6VXNlcjI4NTYx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938747347,42721,Active Record: validates on: :save does not work for existing records,"[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}]",open,,[],,2021-07-07T10:36:02Z,2021-07-07T21:04:24Z,,NONE,ololobus,912790,MDQ6VXNlcjkxMjc5MA==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938745574,42720,Clarify new_framework_defaults instructions,"[{'id': 107195, 'node_id': 'MDU6TGFiZWwxMDcxOTU=', 'url': 'https://api.github.com/repos/rails/rails/labels/railties', 'name': 'railties', 'color': '8BE06E', 'default': False, 'description': None}]",closed,,[],,2021-07-07T10:33:58Z,2021-07-07T15:16:04Z,2021-07-07T14:32:53Z,MEMBER,p8,28561,MDQ6VXNlcjI4NTYx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938740497,42719,Micro-optimize ActiveRecord::Core#hash,"[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}]",closed,,[],,2021-07-07T10:27:53Z,2021-07-07T19:06:49Z,2021-07-07T19:06:49Z,CONTRIBUTOR,jdelStrother,2377,MDQ6VXNlcjIzNzc=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938638349,42718,Enable destroy_all_in_batches on new defaults framework,"[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}, {'id': 107195, 'node_id': 'MDU6TGFiZWwxMDcxOTU=', 'url': 'https://api.github.com/repos/rails/rails/labels/railties', 'name': 'railties', 'color': '8BE06E', 'default': False, 'description': None}]",open,,[],,2021-07-07T08:36:15Z,2021-07-07T13:40:20Z,,CONTRIBUTOR,robertomiranda,505427,MDQ6VXNlcjUwNTQyNw==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938588063,42717,Consider sorting of hashes for schema_cache.yml,"[{'id': 126910270, 'node_id': 'MDU6TGFiZWwxMjY5MTAyNzA=', 'url': 'https://api.github.com/repos/rails/rails/labels/With%20reproduction%20steps', 'name': 'With reproduction steps', 'color': '009800', 'default': False, 'description': None}, {'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}]",open,,[],,2021-07-07T07:38:25Z,2021-07-09T11:53:07Z,,CONTRIBUTOR,justin808,1118459,MDQ6VXNlcjExMTg0NTk=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938433546,42716,"ActiveRecord 6.0.4 introduces extra JOIN on certain through assciations, breaking multi-database preloading","[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}, {'id': 107186, 'node_id': 'MDU6TGFiZWwxMDcxODY=', 'url': 'https://api.github.com/repos/rails/rails/labels/regression', 'name': 'regression', 'color': 'e10c02', 'default': False, 'description': None}]",open,,"[{'login': 'kamipo', 'id': 12642, 'node_id': 'MDQ6VXNlcjEyNjQy', 'avatar_url': 'https://avatars.githubusercontent.com/u/12642?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/kamipo', 'html_url': 'https://github.com/kamipo', 'followers_url': 'https://api.github.com/users/kamipo/followers', 'following_url': 'https://api.github.com/users/kamipo/following{/other_user}', 'gists_url': 'https://api.github.com/users/kamipo/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/kamipo/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/kamipo/subscriptions', 'organizations_url': 'https://api.github.com/users/kamipo/orgs', 'repos_url': 'https://api.github.com/users/kamipo/repos', 'events_url': 'https://api.github.com/users/kamipo/events{/privacy}', 'received_events_url': 'https://api.github.com/users/kamipo/received_events', 'type': 'User', 'site_admin': False}]",,2021-07-07T03:07:30Z,2021-07-08T19:10:21Z,,CONTRIBUTOR,qnighy,41755,MDQ6VXNlcjQxNzU1,kamipo,12642.0,MDQ6VXNlcjEyNjQy,https://avatars.githubusercontent.com/u/12642?v=4,,https://api.github.com/users/kamipo,https://github.com/kamipo,https://api.github.com/users/kamipo/followers,https://api.github.com/users/kamipo/following{/other_user},https://api.github.com/users/kamipo/gists{/gist_id},https://api.github.com/users/kamipo/starred{/owner}{/repo},https://api.github.com/users/kamipo/subscriptions,https://api.github.com/users/kamipo/orgs,https://api.github.com/users/kamipo/repos,https://api.github.com/users/kamipo/events{/privacy},https://api.github.com/users/kamipo/received_events,User,False,https://api.github.com/repos/rails/rails/milestones/75,https://github.com/rails/rails/milestone/75,https://api.github.com/repos/rails/rails/milestones/75/labels,5391770.0,MDk6TWlsZXN0b25lNTM5MTc3MA==,75.0,6.0.4,,eugeneius,432189.0,MDQ6VXNlcjQzMjE4OQ==,https://avatars.githubusercontent.com/u/432189?v=4,,https://api.github.com/users/eugeneius,https://github.com/eugeneius,https://api.github.com/users/eugeneius/followers,https://api.github.com/users/eugeneius/following{/other_user},https://api.github.com/users/eugeneius/gists{/gist_id},https://api.github.com/users/eugeneius/starred{/owner}{/repo},https://api.github.com/users/eugeneius/subscriptions,https://api.github.com/users/eugeneius/orgs,https://api.github.com/users/eugeneius/repos,https://api.github.com/users/eugeneius/events{/privacy},https://api.github.com/users/eugeneius/received_events,User,False,3.0,28.0,open,2020-05-06T20:51:20Z,2021-07-07T21:05:29Z,,
938258879,42715,ActiveRecord supports validate_uniqueness_of for json field,"[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}]",closed,,[],,2021-07-06T21:04:19Z,2021-07-08T21:14:58Z,2021-07-08T21:14:58Z,NONE,hyhuang1218,5761185,MDQ6VXNlcjU3NjExODU=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938164300,42714,destroy_all_in_batches is off by default for newly generated Rails apps.,"[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}, {'id': 1072773639, 'node_id': 'MDU6TGFiZWwxMDcyNzczNjM5', 'url': 'https://api.github.com/repos/rails/rails/labels/ready', 'name': 'ready', 'color': 'fef2c0', 'default': False, 'description': 'PRs ready to merge'}]",closed,,[],,2021-07-06T18:44:34Z,2021-07-06T21:59:09Z,2021-07-06T18:50:28Z,CONTRIBUTOR,robertomiranda,505427,MDQ6VXNlcjUwNTQyNw==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938076575,42713,ActiveRecord and JSONB: Incorrect quoting for array of value to look for,"[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}, {'id': 128692, 'node_id': 'MDU6TGFiZWwxMjg2OTI=', 'url': 'https://api.github.com/repos/rails/rails/labels/needs%20feedback', 'name': 'needs feedback', 'color': 'ededed', 'default': False, 'description': None}]",open,,[],,2021-07-06T16:39:18Z,2021-07-10T01:15:08Z,,NONE,Pagehey,39967933,MDQ6VXNlcjM5OTY3OTMz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938037586,42712,activerecord: Implement different table names for different operations,"[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}]",open,,[],,2021-07-06T15:51:11Z,2021-07-09T07:32:08Z,,NONE,mildred,33804,MDQ6VXNlcjMzODA0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
